epoch,train_loss,val_loss,onset_f1,onset_prec,onset_rec,frame_f1,frame_prec,frame_rec,offset_f1,offset_prec,offset_rec
1,0.253607,0.212701,0.625570,0.584777,0.672480,0.497990,0.338370,0.942678,0.295046,0.255340,0.349377
2,0.213704,0.196698,0.646370,0.613497,0.682966,0.537381,0.376262,0.939817,0.312212,0.292777,0.334411
3,0.203743,0.189970,0.654797,0.610283,0.706314,0.546202,0.384405,0.943196,0.320924,0.275041,0.385180
4,0.197436,0.193360,0.659392,0.622702,0.700677,0.540211,0.378713,0.941858,0.320412,0.279550,0.375266
5,0.193333,0.189567,0.655583,0.626350,0.687678,0.557666,0.396692,0.938504,0.327339,0.307604,0.349781
6,0.190640,0.186124,0.667677,0.641239,0.696389,0.541852,0.378688,0.952062,0.331834,0.305829,0.362672
7,0.188230,0.185863,0.669997,0.630444,0.714844,0.536984,0.373724,0.953530,0.333998,0.297745,0.380304
8,0.186318,0.180106,0.673038,0.636849,0.713588,0.582115,0.422204,0.937010,0.338266,0.307307,0.376161
9,0.184840,0.180272,0.670948,0.630572,0.716848,0.553932,0.390871,0.950428,0.336934,0.310544,0.368224
10,0.183306,0.180448,0.672950,0.637366,0.712743,0.592599,0.434357,0.932221,0.336933,0.289311,0.403321
11,0.182380,0.178955,0.671848,0.616407,0.738248,0.557543,0.394446,0.950602,0.333972,0.287835,0.397723
12,0.181400,0.184705,0.672638,0.625090,0.728015,0.576134,0.416658,0.933391,0.333415,0.280949,0.409975
13,0.180309,0.180166,0.673910,0.644780,0.705797,0.570491,0.408826,0.943647,0.336469,0.315210,0.360803
14,0.179709,0.180007,0.676442,0.640116,0.717140,0.598242,0.441160,0.929042,0.341959,0.308425,0.383675
15,0.179087,0.176417,0.676444,0.638435,0.719265,0.566971,0.404183,0.949315,0.340863,0.319215,0.365660
16,0.178389,0.178902,0.677411,0.640802,0.718455,0.552247,0.388772,0.952956,0.341078,0.321697,0.362944
17,0.177654,0.176012,0.677546,0.624409,0.740569,0.573637,0.411580,0.946199,0.343154,0.301924,0.397425
18,0.177284,0.177714,0.677475,0.633528,0.727974,0.573633,0.411984,0.944045,0.340287,0.297932,0.396681
19,0.176894,0.176861,0.678641,0.633493,0.730719,0.583196,0.422663,0.940358,0.340098,0.290814,0.409496
20,0.176168,0.175321,0.677077,0.612737,0.756514,0.578897,0.417355,0.944462,0.344259,0.299196,0.405303
21,0.175718,0.177022,0.678720,0.620900,0.748415,0.597976,0.439704,0.934264,0.343543,0.296807,0.407749
22,0.175389,0.175617,0.678812,0.636203,0.727538,0.584886,0.424111,0.941981,0.344482,0.320359,0.372534
