epoch,train_loss,val_loss,onset_f1,onset_p,onset_r,frame_f1,frame_p,frame_r,offset_f1,offset_p,offset_r,velocity_mse,lr
1,0.20866787803963122,,,,,,,,,,,,0.0006
2,0.16646173004238188,,,,,,,,,,,,0.0006
3,0.15566212438218163,0.1522862432290337,0.866903424237512,0.8760260467486358,0.8579688527937125,0.6897902979150259,0.5591008028859059,0.9002150557522693,0.34350414048908473,0.2510654808351404,0.5436787521716847,0.0046763270628671525,0.0006
4,0.14923493303697036,,,,,,,,,,,,0.0006
5,0.14492066306092408,,,,,,,,,,,,0.0006
6,0.1416511198397246,0.14419165621706825,0.8884461008937861,0.9217356404759149,0.8574773333938199,0.7021207356169764,0.5706521638700749,0.9122989206880603,0.3693973595757973,0.28226833744056756,0.5343319893238534,0.005580398889019729,0.0006
7,0.13898132443587324,,,,,,,,,,,,0.0006
8,0.1370894792785879,,,,,,,,,,,,0.0006
9,0.13521970725279323,0.1372828741563473,0.8866562423889934,0.91365195242774,0.8612100451441582,0.7246465821785109,0.6021979066713244,0.9096015720661549,0.3613137637463091,0.25872830355078835,0.5986960089546693,0.004103838114913874,0.0006
10,0.13379098267908213,,,,,,,,,,,,0.0006
11,0.13235835064419574,,,,,,,,,,,,0.0006
12,0.13112464391853898,0.13398800895153407,0.8879738316080312,0.9157704005174615,0.8618149920978723,0.7026665262401177,0.5631500167616363,0.9340778272420137,0.36863640058128777,0.2666395648702345,0.5970081396749172,0.0047191223433763,0.0006
13,0.13008918471033085,,,,,,,,,,,,0.0006
14,0.12907085256309575,,,,,,,,,,,,0.0006
15,0.12819022964835486,0.13317754705196727,0.8978668104984646,0.9234958918235056,0.8736218552210621,0.7272391302887893,0.6021138463023781,0.9180110059530484,0.37642853364754625,0.2768271317672727,0.5879825200971271,0.0037436510084184033,0.0006
16,0.12736631350871525,,,,,,,,,,,,0.0006
17,0.12674131715109743,,,,,,,,,,,,0.0006
18,0.1257632099677381,0.13198147972900712,0.875877415523604,0.8788573212256553,0.8729176591577543,0.7145466607706629,0.5804096431277738,0.9293193189374553,0.36422500744436265,0.2582404566881136,0.617760156389304,0.003669485606037438,0.0006
19,0.12520421949428776,,,,,,,,,,,,0.0006
20,0.12474184131666914,,,,,,,,,,,,0.0006
21,0.12402609690729148,0.1318694384668223,0.8885395346414486,0.912268508607453,0.8660137020484934,0.745440466122676,0.6325455439876062,0.9073885901896404,0.3681042623561333,0.2617405445748019,0.6200912457651565,0.00356905156754696,0.0006
22,0.12344225142041608,,,,,,,,,,,,0.0006
23,0.12310804944746256,,,,,,,,,,,,0.0006
24,0.12263292419056661,0.12993958974982092,0.8977059854787569,0.9167676672125532,0.8794208389101797,0.7394923907799612,0.6202867268714185,0.9154153859077406,0.37712644962515773,0.2723684505331186,0.6128337812846291,0.0035474108500132447,0.0006
25,0.12205670625051032,,,,,,,,,,,,0.0006
26,0.12167846918791007,,,,,,,,,,,,0.0006
27,0.12135809727256021,0.12883875920565543,0.8975627054402389,0.9155437190138616,0.8802743812526855,0.7331300894155474,0.6083861350088645,0.9222234938294297,0.3778340217469711,0.2719831078834529,0.6185704830125479,0.003802381089767926,0.0006
28,0.12088588790451378,,,,,,,,,,,,0.0006
29,0.12047518819634255,,,,,,,,,,,,0.0006
30,0.12005265145490412,0.12760757353759097,0.8935929497528194,0.9079824574241204,0.8796524201658984,0.7279823346231131,0.5988811452197812,0.9280406472454997,0.37378421067985845,0.26608167934583105,0.6279685914413451,0.003439547595898819,0.0006
