epoch,train_loss,val_loss,onset_f1,onset_p,onset_r,frame_f1,frame_p,frame_r,offset_f1,offset_p,offset_r,velocity_mse,lr,note_off_f1,note_off_p,note_off_r,note_off_vel_f1,note_off_vel_p,note_off_vel_r
1,0.3858934512454942,,,,,,,,,,,,0.0006,,,,,,
2,0.317901309495013,,,,,,,,,,,,0.0006,,,,,,
3,0.2996837209005455,0.2899355401350422,0.9425600257573455,0.9550000531617117,0.9304399334016306,0.7900815187469071,0.7436662315696941,0.8426764429717839,0.3504890448688804,0.35125026242283824,0.3497311195493944,0.003946613352833517,0.0006,0.6560713760433294,0.6647302912585635,0.6476351554966188,0.610434597596543,0.6184911930360019,0.6025852067261274
4,0.28949362572233783,,,,,,,,,,,,0.0006,,,,,,
5,0.2816533977904805,,,,,,,,,,,,0.0006,,,,,,
6,0.2761135297067784,0.28088527241852607,0.950237286778011,0.9679466265519134,0.9331643261812834,0.8016821063402757,0.7875411138848588,0.8163402118968764,0.3652902734118025,0.3596517125947593,0.3711084511042517,0.003557249028176108,0.0006,0.6924316867112706,0.7053363679876461,0.6799907334860109,0.6519880388332799,0.664138981958127,0.6402737388500421
7,0.2715996410951492,,,,,,,,,,,,0.0006,,,,,,
8,0.2680103437979528,,,,,,,,,,,,0.0006,,,,,,
9,0.2649816495154651,0.26743895798275646,0.9546935836212993,0.9741125347665182,0.9360337436716402,0.8051554989487871,0.75393037012686,0.8638489478246539,0.3722142970510443,0.3774618702262487,0.36711062951863976,0.0034212396563061656,0.0006,0.6960388296177307,0.7101966134118854,0.6824344940332626,0.6593470716963128,0.6727585267420438,0.6464598903085763
10,0.262456494631087,,,,,,,,,,,,0.0006,,,,,,
11,0.2598354820099356,,,,,,,,,,,,0.0006,,,,,,
12,0.25794448799670394,0.26232202284271944,0.9541651535670018,0.9626139293278676,0.945863405556886,0.8076922095439395,0.7531850270086072,0.8707041213230617,0.37886719514019124,0.34732813095736637,0.4167061137143559,0.00322254478498064,0.0006,0.7041378415190187,0.7103727202154406,0.6980114663693281,0.6694567654908273,0.6753845564063917,0.6636321344623852
