epoch,train_loss,val_loss,onset_f1,onset_p,onset_r,frame_f1,frame_p,frame_r,offset_f1,offset_p,offset_r,velocity_mse,lr
1,0.10867671683917578,0.07990374597512297,0.6221195824586923,0.6781621607028658,0.574632584205344,0.4778266686291352,0.7377580750745353,0.3533368746456657,0.24550689196626074,0.16555335106551955,0.47481984593721527,0.011338982725502609,0.0006
2,0.07430814466819295,0.07379560378977834,0.6659117628857425,0.6626276810182024,0.6692285697946281,0.5461639279986823,0.722562980946626,0.4389927727988226,0.23654734206135863,0.14688719851874413,0.6071564648388967,0.008582435297216771,0.0006
3,0.06945509387297343,0.07304654084841039,0.6918126320297514,0.658189552808944,0.7290558700748294,0.5744854441993766,0.6871469086270767,0.49356309627658623,0.25259050089076873,0.15967000903994868,0.6042160192164333,0.009509123788985413,0.0006
4,0.06662797570715483,0.06914028131972942,0.693614165363066,0.7133687124498975,0.6749242294274976,0.5566023506600635,0.7737942363979222,0.43461324158410375,0.2524370386901072,0.15768940841172643,0.6324360142466661,0.007569703955137948,0.0006
5,0.06461947613181007,0.06549284183906752,0.6883841269218501,0.7229003599022572,0.6570137816663056,0.5920756560245354,0.7712885669058069,0.48044237163961134,0.2863282661974237,0.1883190168662612,0.597067837322952,0.006868401298168973,0.0006
6,0.06315232238947022,0.06858012444381394,0.6977763658893892,0.7302297672324511,0.6680848630410399,0.603224863459941,0.7427194845551865,0.5078436819251744,0.2888582927345901,0.19405470017360618,0.5647726331483476,0.008618141831751667,0.0006
7,0.06191103116858351,0.06603359091860145,0.6976626444721681,0.7185246239438652,0.6779779264595782,0.6288290539922134,0.686112140666499,0.5803739820757613,0.29417042652452735,0.1980423609895518,0.5716391948977056,0.006640837261204332,0.0006
8,0.06123410921392253,0.06541480680010212,0.7163140844974822,0.6913321488226861,0.7431692114141084,0.6434379300385654,0.6743490809769439,0.6152364150872901,0.273065507588865,0.17332666663690463,0.6431707115050112,0.006751513576066953,0.0006
9,0.06025610172388439,0.06766461233483322,0.7190504565746216,0.6732705877655452,0.7715102647680252,0.6219057863001931,0.7070088865439723,0.5550893369136326,0.2682306678744956,0.16915223722989436,0.6474861260664292,0.009111423246859759,0.0006
10,0.059647072571686915,0.06479695328135988,0.7155284612372733,0.7024939112418088,0.7290558700748294,0.6483556090741512,0.6585269006004718,0.6384937401618932,0.30282955262184913,0.20532944021707072,0.5766503768740164,0.005919316117425964,0.0006
11,0.05894868906229073,0.06393534778408817,0.703102978072706,0.7389715149986464,0.6705552696287905,0.6038631684463892,0.7859547972281467,0.4902751989551504,0.2939989425805072,0.19434869375907113,0.6033711587840637,0.00686084145910628,0.0006
12,0.05849671819156585,0.062087691215270045,0.7176810218430616,0.7175374414084009,0.7178246697545928,0.6485865498856083,0.719853293757257,0.5901597001905486,0.29778363874683994,0.19594483170213936,0.6200364449598277,0.00608084609746927,0.0006
13,0.05793085398954028,0.06322249139089194,0.7087789178271754,0.756070053538228,0.6670555269628105,0.6137040479345053,0.784114768222462,0.504139924072964,0.30974064389282674,0.21085536854775686,0.5832850161517436,0.00649721201999142,0.0006
14,0.056364513368663896,0.060873380750973725,0.7279851653977834,0.7261008078278842,0.729879338937413,0.6604518071745724,0.742621238094272,0.5946545677243494,0.3028966108480361,0.20035682951359912,0.6204174604489356,0.006460393305470259,0.0003
15,0.056008183234285115,0.05962927558862451,0.7294141918679882,0.7324975202416631,0.7263567221363612,0.6552488086637263,0.7596715559106869,0.576064302434571,0.2997631120421308,0.19627236835358663,0.6341257351114056,0.005455605721687385,0.0003
16,0.055724270892146925,0.06143591377828548,0.7198459013099281,0.7259963241280593,0.7137988219819622,0.6584196569229641,0.7322097936863038,0.5981406485799825,0.3125545243767957,0.21047868841156345,0.606866561749358,0.0066851010746838795,0.0003
17,0.05546900267918329,0.059459644849342644,0.7371189591233333,0.7246328769847047,0.7500428890031738,0.6619211113795951,0.7437859283469465,0.5962903941090757,0.2981292327120543,0.19419866779021708,0.641381595295287,0.005492005260580766,0.0003
18,0.05528824970484442,0.05948359431671118,0.7331771791094729,0.7254447541955547,0.7410762280550419,0.663765119385827,0.7488072061482451,0.5960694682021017,0.30444315342129974,0.20034512917467517,0.6337198707860515,0.005749184769933214,0.0003
19,0.05508875163012493,0.0615186263848819,0.7218444290956402,0.7351556477911966,0.7090066906844275,0.6615768928300731,0.7312470378156631,0.6040276742187589,0.3088820542285236,0.20731043399853688,0.605590988155388,0.006604440468338916,0.0003
20,0.05491328569365672,0.06006907659874701,0.7355710119903428,0.7095502274369012,0.7635729398981228,0.6727171675944179,0.722707248399538,0.6291953586066074,0.30192636029288117,0.19833598020435056,0.6320384328667275,0.006214991689032183,0.0003
21,0.0547354451108508,0.05918452055401989,0.7369727986451625,0.7340254141138264,0.7399439583689895,0.670218841901005,0.7380352005250195,0.6138166412439429,0.30658097541541074,0.2024781527077885,0.631011347635219,0.005299533688483716,0.0003
